"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8148040",1.03364007066667,1.14488784413793,1.41107517605968,0.158337659995389,0.956088183200515,-4.58613796568476
"7934906",-0.980764784571428,0.52764242137931,-1.33889240591231,0.180718414025605,0.956088183200515,-4.58795378891863
"8096415",-0.787943066900001,1.30166625024138,-1.07566157060244,0.28217474828595,0.956088183200515,-4.59376793755163
"8017599",-0.734683995571429,1.26197921965517,-1.0029548755115,0.315972508706558,0.956088183200515,-4.59515042505029
"8066493",0.723322804733334,1.0534256247931,0.98744513008167,0.323512947942333,0.956088183200515,-4.5954328203627
"7970763",-0.720150444419047,1.30653235489655,-0.983114377998772,0.325639233635832,0.956088183200515,-4.59551088697382
"8149071",-0.686804716666667,1.30325788896552,-0.937592411509334,0.348537771213225,0.956088183200515,-4.5963107111658
"7921916",-0.650226334914286,1.16362138062069,-0.887657382928322,0.374804140603004,0.956088183200515,-4.59714446925519
"8126798",-0.646625282333333,1.37383518793103,-0.882741401003017,0.377454592426903,0.956088183200515,-4.59722408405908
"8134351",0.640502153,0.785484711931034,0.87438240250125,0.381987804451214,0.956088183200515,-4.59735844376949
"8138466",0.636767019238095,0.868846281241379,0.869283379465807,0.38476941809503,0.956088183200515,-4.59743977599732
"7917182",-0.629454334028571,1.44971523151724,-0.859300457109824,0.390251056082501,0.956088183200515,-4.59759763181445
"7939314",0.625153824942857,1.05076792944828,0.853429611166945,0.393496810707009,0.956088183200515,-4.59768961364662
"8145293",0.618440395514286,0.970877782517241,0.844264763671457,0.398596268373083,0.956088183200515,-4.59783194389326
"8100758",0.611594508809524,1.22756133982759,0.834919091941668,0.403837132942136,0.956088183200515,-4.59797549985133
"7901765",0.598863208352381,1.00037542737931,0.817538939465144,0.413692641152915,0.956088183200515,-4.59823822186856
"8097973",-0.598184048952381,0.727398444275862,-0.816611784068286,0.414222361277801,0.956088183200515,-4.59825208167263
"7952046",-0.573837828709523,1.16836503037931,-0.783375507737183,0.433475343070148,0.956088183200515,-4.59873853518547
"8173924",0.573568648328572,0.970386980137931,0.783008035766791,0.433691064883454,0.956088183200515,-4.59874380062682
"7961710",-0.571476829285715,1.05388797413793,-0.780152386099223,0.435369568877416,0.956088183200515,-4.59878463453304
"8091402",-0.568199974780951,1.34139219296552,-0.775678983627269,0.438006485974483,0.956088183200515,-4.59884830132201
"8138381",0.54667240722381,0.897765229413793,0.746290594919353,0.455556863687962,0.956088183200515,-4.59925746228946
"7940630",0.544180609666667,1.03632068586207,0.742888914028265,0.457613567018887,0.956088183200515,-4.59930380197386
"7908597",-0.541326502828571,1.11109938655172,-0.738992626119784,0.459975711032241,0.956088183200515,-4.59935661936895
"8041853",0.538961086428571,0.688825905689655,0.735763474640651,0.461938563498509,0.956088183200515,-4.59940018269888
"7945132",-0.533893115714286,0.791415345862069,-0.72884492739111,0.466159738591144,0.956088183200515,-4.59949287611376
"8112045",-0.528517602980952,0.983583498241379,-0.721506538727726,0.470660391997864,0.956088183200515,-4.59959023742573
"8065359",-0.525831627733333,0.977761456413793,-0.717839775893173,0.472918188188955,0.956088183200515,-4.59963851668192
"7960464",-0.520273054819047,1.2065524782069,-0.71025148236987,0.477609539611425,0.956088183200515,-4.59973764837689
"8109926",0.518466250780953,0.933163512034483,0.707784921331349,0.479139922140699,0.956088183200515,-4.59976964408284
"8122860",-0.516829646638095,1.17045012572414,-0.705550708915868,0.480528452160948,0.956088183200515,-4.59979852973773
"7996837",0.505427788619048,0.963551662758621,0.689985446627557,0.490262639722891,0.956088183200515,-4.59999723528231
"7908072",0.495016837328571,1.0429907522069,0.675772922034076,0.499242703182134,0.956088183200515,-4.60017480035732
"8100231",0.488933757247619,0.826313244724138,0.667468596824742,0.504529904513485,0.956088183200515,-4.60027684046428
"8141016",0.485440669285714,0.764997037931034,0.66270000294887,0.507579273402347,0.956088183200515,-4.60033486470657
"7996264",-0.483868821180953,0.908098960758621,-0.660554192328608,0.508954604931514,0.956088183200515,-4.60036083920198
"8020779",0.483686274152381,0.880142554689655,0.660304987999372,0.509114455980648,0.956088183200515,-4.60036385029763
"8101957",-0.477995317761905,1.25219397603448,-0.652535970989941,0.514111026336669,0.956088183200515,-4.60045715223024
"7910950",0.474537649823809,1.04923422682759,0.647815730808698,0.517159219934913,0.956088183200515,-4.60051330062926
"8096511",0.452831945923809,0.906766147551724,0.618184159025265,0.53650609186162,0.956088183200515,-4.60085646390625
"7964834",0.437619242238095,0.948525559103448,0.597416515489718,0.550279427273201,0.956088183200515,-4.60108739935513
"7903592",0.432518776333333,1.03791710655172,0.59045360738583,0.55493599546276,0.956088183200515,-4.6011630603543
"8137244",-0.432264629014286,1.04190802172414,-0.590106657820747,0.555168527236731,0.956088183200515,-4.60116680720992
"8105899",0.429556080361905,0.791481111931035,0.586409078871375,0.557649665167853,0.956088183200515,-4.60120660213082
"8098439",0.426580244514286,0.515919944655172,0.582346612436714,0.560381858527921,0.956088183200515,-4.60125003574549
"8177498",0.422105159695238,0.780301391413793,0.57623744418935,0.564502728563762,0.956088183200515,-4.60131478310818
"8100393",-0.405415361523809,0.916385337931034,-0.553453343067999,0.579998845742211,0.956088183200515,-4.60155023594977
"8124196",0.393533117076191,0.997423351862069,0.537232280580461,0.591151445482089,0.956088183200515,-4.60171207798665
"8094441",0.362775633495238,0.79408775737931,0.495243659211367,0.620468436466786,0.956088183200515,-4.60210865177409
"8155802",0.360310358009524,0.771795634586207,0.491878184962874,0.622845447379968,0.956088183200515,-4.602139041689
"8129880",0.345404749647619,0.717365316586207,0.471529773034545,0.637300562392156,0.956088183200515,-4.60231837179277
"8063000",0.335623026166667,0.603886320517241,0.458176239657933,0.646862700967607,0.956088183200515,-4.60243193935029
"8091385",0.320841022271429,1.00802883917241,0.437996566538706,0.661423809131193,0.956088183200515,-4.60259737089997
"8095080",-0.31713053752381,0.523962593793103,-0.432931193139301,0.665099337380719,0.956088183200515,-4.60263772670808
"8105908",0.310543976309524,0.359347651,0.423939539962503,0.671643678490278,0.956088183200515,-4.60270820693704
"8046099",-0.305873811642857,0.629506292586207,-0.417564058190599,0.676299081124638,0.956088183200515,-4.60275728432444
"8144917",-0.303056818638095,0.918076715310345,-0.413718436283169,0.679113182063519,0.956088183200515,-4.60278652771118
"7940626",0.272089337666667,0.919276920689655,0.371443136685216,0.710336646043078,0.956088183200515,-4.60309016714998
"7964872",-0.264314960928571,0.634376772034483,-0.360829935498668,0.718254810900202,0.956088183200515,-4.60316126097987
"8009502",-0.261735749761905,0.811846043793103,-0.357308921797302,0.720888476849122,0.956088183200515,-4.60318439167002
"8138504",-0.258883891119048,0.656433257137931,-0.35341570301567,0.723804406456088,0.956088183200515,-4.60320970344625
"7940643",0.256520505647619,0.700146530551724,0.350189324061492,0.726223933564394,0.956088183200515,-4.60323046963319
"7924058",0.254549153928572,0.749000294448276,0.347498130528103,0.72824420816016,0.956088183200515,-4.60324764548538
"8147351",0.252826901357143,0.957986800172414,0.345146995041569,0.730010749716034,0.956088183200515,-4.60326254255641
"8091972",0.247977040380953,0.811605551310345,0.338526200603492,0.73499300823233,0.956088183200515,-4.60330394930285
"7923875",0.243804541047619,0.75702166262069,0.332830107351617,0.739288370070573,0.956088183200515,-4.60333893114003
"8141140",0.243571954190476,0.687670939310345,0.332512591081006,0.739528046700794,0.956088183200515,-4.60334086365928
"8155930",0.241287669642857,0.823924475586207,0.329394196862675,0.741883303210744,0.956088183200515,-4.60335974532485
"8060897",0.23074891912381,1.12390174865517,0.315007206975061,0.752780523851973,0.956088183200515,-4.60344455372406
"8140782",-0.227910639342858,0.716209486310345,-0.311132525395592,0.755723894329175,0.956088183200515,-4.60346674691404
"8146458",0.220091223966667,0.815693867241379,0.300457839649783,0.763851082591692,0.956088183200515,-4.60352646806696
"7951217",0.21371014347619,1.22796554275862,0.291746698768081,0.770502713910914,0.956088183200515,-4.6035736590711
"8007701",-0.185700602280953,0.918863467448276,-0.253509434758057,0.799893872569162,0.956088183200515,-4.60376438064362
"7901175",0.179029421142857,0.829090957413793,0.244402262574907,0.806937860225175,0.956088183200515,-4.6038058615585
"7937961",0.178757145952381,1.20732327755172,0.244030565721001,0.807225688236487,0.956088183200515,-4.60380752231584
"8115099",-0.173868261666667,0.657214144482759,-0.237356498557806,0.812398242616029,0.956088183200515,-4.60383691217049
"8056363",-0.166965987861905,0.921230920931034,-0.227933849900246,0.819714926012128,0.956088183200515,-4.6038770181836
"8104663",0.157754960928571,0.957989317344828,0.215359403707133,0.829503384393415,0.956088183200515,-4.60392800905554
"7933194",-0.143065529757143,0.703135194586207,-0.195306106370207,0.845168012497008,0.956088183200515,-4.60400334226545
"7976810",-0.141946832619047,0.628301256206897,-0.193778915420579,0.846363573768367,0.956088183200515,-4.60400877790067
"8147891",0.115877019452381,0.894353253413793,0.158189673819031,0.874319170112419,0.956088183200515,-4.60412336483236
"8118548",-0.111560997285714,0.732779344827586,-0.152297650172174,0.878963557364932,0.956088183200515,-4.6041400996431
"8026490",0.109944871857143,0.738543740689655,0.150091394301903,0.880703720182728,0.956088183200515,-4.60414620251677
"7922229",-0.107278167785714,1.27931528068966,-0.146450939540253,0.883576350011932,0.956088183200515,-4.60415607791891
"8070297",0.0999163890476185,0.119233789827586,0.136400997085651,0.89151445451022,0.956088183200515,-4.60418208162096
"7965357",0.0997813689523811,0.56968705137931,0.136216674215374,0.891660148949203,0.956088183200515,-4.60418254129045
"8167592",-0.0991144029380951,0.862276578413793,-0.135306164635935,0.892379897184614,0.956088183200515,-4.60418480282556
"8089714",0.0957323256428573,0.717884999482759,0.130689117125628,0.896030977800225,0.956088183200515,-4.60419603724738
"8178193",-0.0935534131904761,0.65384318862069,-0.127714571769255,0.898384368817794,0.956088183200515,-4.60420306848466
"8123920",-0.0885188167952382,0.816181758965517,-0.12084158551765,0.903825502570199,0.956088183200515,-4.60421869573074
"8095395",0.0870930976380953,0.82367222562069,0.1188952630329,0.905367179477165,0.956088183200515,-4.60422296410057
"8179481",-0.0853679637619051,0.720132086896552,-0.116540194129174,0.907233100042613,0.956088183200515,-4.60422803620208
"7957861",-0.0851232929523809,0.893375065172414,-0.116206181434211,0.907497779950457,0.956088183200515,-4.60422874734739
"8093278",0.0817953691761907,0.880510568068966,0.111663061675539,0.911098868648668,0.956088183200515,-4.60423821739897
"8089851",0.0808912938333333,0.876584991103448,0.110428861967345,0.912077471751191,0.956088183200515,-4.60424072483958
"7972239",-0.0755657795142857,0.896965078310345,-0.103158728708568,0.917844655872494,0.956088183200515,-4.60425492949941
"8112342",0.0582576934666669,0.809314888275862,0.0795305710355131,0.936616510242447,0.963404662471817,-4.60429441661591
"7926638",0.051333682757143,0.872578094482759,0.0700782482122705,0.944136569222381,0.963404662471817,-4.60430735285967
"7940323",-0.0388297969190475,0.880329541931035,-0.0530085511183479,0.957729015972029,0.967403046436393,-4.60432657269856
"7974835",-0.0119304570000001,0.621658981034483,-0.0162868799202895,0.987006727810757,0.987006727810757,-4.60434985036753
